Nome,Marca,Quantidade,Preço Primário,Preço Por Unidade,Promo,EAN
PIRI-PIRI MARGÃO MOÍDO 38G,MARGÃO,0.03 KG,2.39€,79.67 €/Kg,None,5601063001352
CERVEJA SAGRES GARRAFA 1L,SAGRES,1L,1.99€,1.69 €/Lt,1.69€,5601146000104
PRATO RASO SAGRES VISTA ALEGRE PORCELANA BRANCO,VISTA ALEGRE,None,5.49€,5.49 €/un,None,5601266301167
LIMPA VIDROS CONCENTRADO REDEX ROSA 500ML,REDEX,0.5 LT,2.99€,5.98 €/Lt,None,5601214454303
WHISKY BUSHMILLS MALTE 10 ANOS 0.70L,BUSHMILLS,0.7 LT,38.49€,42.84 €/Lt,29.99€,5055966820037
DESODORIZANTE ROLL-ON DRY COMFORT NIVEA 50 ML,NIVEA,0.05 LT,2.99€,59.8 €/Lt,None,4005900936912
CALDO KNORR CARNE 8 CUBOS 80G,KNORR,0.08 KG,2.15€,26.88 €/Kg,None,5601038001202
LOURO MARGÃO EM PÓ 24G,MARGÃO,0.02 KG,2.19€,109.5 €/Kg,None,5601063001499
ARROZ AGULHA SALUDÃES EXTRA LONGO 1KG,SALUDÃES,1KG,1.39€,1.18 €/Kg,1.18€,5601260047108
TOSTA DIATOSTA GRIL NORMAL 225G,DIATOSTA,0.225 KG,1.69€,7.51 €/Kg,None,5601560111110
MEDALHÕES PESCANOVA PESCADA DO CABO 400G,PESCANOVA,0.4 KG,7.19€,17.98 €/Kg,None,8410063008820
NOZ MARGÃO MOSCADA EM GRÃO 50G,MARGÃO,0.05 KG,3.39€,67.8 €/Kg,None,5601063010835
BOLACHA CUÉTARA BOCADITOS RECHEADA LIMÃO 150G,CUÉTARA,0.15 KG,1.99€,13.27 €/Kg,None,8434165471191
ERVAS MARGÃO FINAS 6G,MARGÃO,0.006 KG,2.39€,398.33 €/Kg,None,5601063051722
APERITIVO KRIT KRITITAS 350G,KRIT,0.35 KG,2.69€,7.69 €/Kg,None,8434165466333
GELADO VIENNETTA BAUNILHA 650ML,VIENNETTA,0.65 LT,3.99€,3.52 €/Lt,2.29€,8000920200025
Espuma de Barbear Sensitive NIVEA MEN 200 ml,NIVEA,0.2 LT,4.99€,24.95 €/Lt,None,4005808222728
VINHO TINTO LUIS PATO BAGA TOURIGA NACIONAL 0.75L,LUIS PATO,0.75 LT,7.99€,10.65 €/Lt,None,5601743000118
CERA CREME REDEX NEUTRA 250G,REDEX,0.2 LT,5.49€,27.45 €/Lt,None,5601214454044
Coloração Nº 7/3 Louro Avelã Koleston un,KOLESTON,None,9.99€,6.49 €/un,6.49€,5601171103573
PEIXE ESPADA PRETO GRANDE KG,None,1 KG,7.99€,7.99 €/Kg,None,2850016000000
CHOURIÇO EXTRA CAMPOFRIO GRAN DOBLON KG,CAMPOFRIO,1 KG,23.99€,17.59 €/Kg,17.59€,2840143000004
TAÇA ALGARVE VISTA ALEGRE P/CEREAIS PORCEL DEC,VISTA ALEGRE,None,5.99€,5.99 €/un,None,5602873271959
GELADO VIENNETTA MORANGO 650ML,VIENNETTA,0.65 LT,3.99€,3.52 €/Lt,2.29€,8712100323140
CEREAIS KELLOGG'S FROSTIES 375G,KELLOGG'S,0.375 KG,3.89€,10.37 €/Kg,None,5053827185530
BAKED BEANS HEINZ C/TOMATE 415(466)G,HEINZ,0.466 KG,1.85€,3.97 €/Kg,None,5000157024671
WHISKY LOGAN HERITAGE BLEND 0.70L,LOGAN HERITAGE,0.7 LT,23.99€,25.7 €/Lt,17.99€,5000265090209
PESCADA DE ANZOL MÉDIA KG,None,1 KG,11.99€,11.99 €/Kg,None,2850012000004
VINHO BRANCO QUINTA DA ALORNA TEJO 0.75L,QTª DA ALORNA,0.75 LT,4.49€,3.85 €/Lt,2.89€,5601766300110
WHISKY JOHNNIE WALKER NOVO RED 0.70L,JOHNNIE WALKER,0.7 LT,17.49€,20.34 €/Lt,14.24€,5000267179902
PASTA THERAMED DENTÍFRICA 2 EM 1 JÚNIOR 75ML,THERAMED,0.075 LT,3.39€,45.2 €/Lt,None,8410020053849
ERVAS MARGÃO PROVENCE FRASCO 18G,MARGÃO,0.018 KG,1.89€,105 €/Kg,None,5601063001628
QUEIJO SALOIO CURADO VACA OVELHA E CABRA 190G,REGIONAL SALOIO,0.19 KG,3.79€,19.95 €/Kg,None,5602527452741
QUEIJO CASTELÕES GRANDE KG,CASTELÕES,1 KG,13.99€,13.99 €/Kg,None,2870039000009
COGUMELOS LAMINADOS FERBAR 290(155)G,FERBAR,0.29 KG,1.29€,4.45 €/Kg,None,5601319000481
Leite de Limpeza de Rosto Suave NIVEA 200 ml,NIVEA,0.2 LT,5.99€,29.95 €/Lt,None,4005808182534
CHOCO KG,None,1 KG,10.99€,10.99 €/Kg,None,2850286000007
Creme de Rosto Corpo e Mãos Soft NIVEA 200 ml,NIVEA,0.2 LT,5.69€,28.45 €/Lt,None,4005808515615
FRANGO AVIPRONTO PERNAS KG,AVIPRONTO,1 KG,5.49€,5.49 €/Kg,None,2830001000000
FRANGO AVIPRONTO CORACAO KG,None,0.534 KG,5.99€,11.22 €/Kg,None,2830003000008
BULE SAGRES VISTA ALEGRE PORCELANA,VISTA ALEGRE,None,20.99€,20.99 €/un,None,5601266194158
REQUEIJÃO SALOIO R13 170G,SANTIAGO,0.17 KG,1.79€,10.53 €/Kg,None,5602527940019
PIMENTA MARGÃO BRANCA MOÍDA 40G,MARGÃO,0.04 KG,2.59€,64.75 €/Kg,None,5601063001307
