Nome,Marca,Quantidade,Preço Primário,Preço Por Unidade,Promo
Guardanapos Folha Simples Reciclados,MARQUE REPERE,Emb. 100 UNID.,"0,89€","0,01€ / UNID.",
Deo Spray 0% Sensitive 24H,SANEX,Emb. 0.15 LT,"2,69€","17,93€ / LT",
Douradinhos Salmão Selvagem 10 Unid. Ultracongelado,IGLO,Emb. 0.28 KG,"5,59€","19,96€ / KG",
Detergente para a Máquina da Loiça Extra Power,SUN,Emb. 76 PASTILHAS,"9,99€","0,13€ / PASTILHAS",
GELADO BAUNILHA E SORVETE F.VERMELHOS 900ML ESKISS,ESKISS,Emb. 0.9 LT,"2,49€","2,77€ / LT",
Bebida Solúvel Cereais Cevada Chicória e Café,TOFINA,Frasco 0.2 KG,"2,24€","11,20€ / KG",
Batata Branca P/ Assar,,Emb. 1 KG,"1,19€","1,19€ / KG",
Elixir Oral Dentes & Gengivas Menta Fresca,LISTERINE,Emb. 1 LT,"8,99€","8,99€ / LT",
Ambientador Recarga Portátil Relax Zen Lavanda e Jasmim,GLADE,Emb. 3 UNID.,"10,78€","3,59€ / UNID.",
Pão Saloio,,1 Unid. = 0.4 KG,"0,99€","2,48€ / KG",
Esfregão Salva Unhas Classic Comfort,SCOTCH BRITE,Emb. 2 UNID.,"2,44€","1,22€ / UNID.",
Coentros em Folhas,MARGÃO,Emb. 0.007 KG,"1,69€","241,43€ / KG",
Cereais Pétalas Chocolate Leite,GRAINEA,Emb. 0.3 KG,"1,49€","4,97€ / KG",
Lentilhas Verdes Secas,NOTRE JARDIN,Emb. 0.5 KG,"1,49€","2,98€ / KG",
Escova de Dentes 3D White,ORAL B,Emb. 1 UNID.,"2,19€","2,19€ / UNID.",
Presunto sem Osso,,1 Unid. = 1 KG (aprox.),"16,99€/kg","16,99€ / Unid.",
Gressinos com Creme de Avelã 3x60g,NUSTIKAO,Emb. 0.18 KG,"2,19€","12,17€ / KG",
Cera Fixadora,AXE,Emb. 0.075 LT,"3,99€","53,20€ / LT",
Penso Incontinência Discreet Normal,AUSONIA,Emb. 12 UNID.,"2,99€","0,25€ / UNID.",
Bolachas Maria sem Açúcar,GULLÓN,Emb. 0.4 KG,"2,34€","5,85€ / KG",
Bolo de Cacau,P'TIT DÉLI,Emb. 0.42 KG,"3,19€","7,60€ / KG",
Parte Traseira de Borrego,,1 Unid. = 3 KG (aprox.),"12,99€/kg","38,97€ / Unid.",
Molho de Tomate à Provençal,,Emb. 0.35 KG,"1,99€","5,69€ / KG",
Alimento Seco P/ Gato C/ Frango Peru,PURINA FRISKIES,Emb. 2 KG,"7,67€","3,84€ / KG",
Refrigerante S/ Gás Maracuja,ECO+,Garrafa 2 LT,"0,79€","0,40€ / LT",
Azeitona Verde Retalhada com Ervas,RUSTICA,Emb. 0.36 KG,"1,79€","4,97€ / KG",
Polpa de Tomate,ECO+,Frasco 0.5 KG,"0,99€","1,98€ / KG",
Conserva de Atum em Posta em Azeite,PÊCHE OCÉAN,Emb. 0.12 KG,"1,09€","9,08€ / KG",
NUGGETS DE FRANGO 18UN,CÔTÉ CROC,Emb. 0.45 KG,"4,29€","9,53€ / KG",
Palitos de La Reine Mousse d´Or,DU BOIS DE LA ROCHE,Emb. 0.2 KG,"2,85€","14,25€ / KG",
Iogurte Natural 4x125 g,,Emb. 0.5 KG,"0,65€","1,30€ / KG",
LAMINAS DESCARTAVEIS SENHORA 3 LAMINAS 4UN,SLISS,Emb. 4 UNID.,"2,99€","0,75€ / UNID.",
Ambientador Pure Nenuco Frescura Colónia de Bebé,AIR WICK,Spray 0.25 LT,"4,19€","16,76€ / LT",
"GEL DUCHE ""MATCHA/GENGIBRE"" CONCENTRADO",NATEIS,,"1,85€",/ Unid.,
Queijo Manchego,DIAZ MIGUEL,Quant. Mínima = 0.2 KG (aprox.),"20,99€/kg","4,20€ / Unid.",
Fraldas Cueca Maxi G,LINDOR,Emb. 14 UNID.,"21,26€","1,52€ / UNID.",
BOLACHA MARIA DOURADA,P'TIT DÉLI,,"1,69€",/ Unid.,
Gomas Trio Brilho,COPAÍNS COPINES,Emb. 0.2 KG,"0,99€","4,95€ / KG",
SNACK BATATA SABOR ESPECIARIAS,TOKAPI,Emb. 0.17 KG,"1,95€","11,47€ / KG",
Queijo de Barrar com Leite Pasteurizado,LES CROISÉS,Emb. 0.15 KG,"0,89€","5,93€ / KG",
Refrigerante sem Gás Laranja,FRUTIS,Garrafa 1.5 LT,"1,15€","0,77€ / LT",
Bebida Gaseificada Aromatizada de Pêssego S/ Álcool,FESTALIE,Garrafa 0.75 LT,"2,49€","3,32€ / LT",
Champô Volume Toranja Branca e Menta,HERBAL ESSENCES,Emb. 0.4 LT,"3,99€","9,98€ / LT",
Farinha,MAIZENA,Emb. 0.4 KG,"2,20€","5,50€ / KG",
Pensos Higiénicos Normal Plus Alas,EVAX,Emb. 14 UNID.,"2,58€","0,18€ / UNID.",
CREPES SIMPLES 16UN,TROFIC,Emb. 1 KG,"3,99€","3,99€ / KG",
Elixir Oral,LISTERINE,Emb. 0.75 LT,"5,98€","7,97€ / LT",
BATATA FRITA PALHA FINISSIMA,POM'LISSE,,"1,39€",/ Unid.,
GELADO BAUNILHA 12UN,SMICY,Emb. 12 UNID.,"2,36€","0,20€ / UNID.",
OIKOS CARAMELO 110G X4,OIKOS,Emb. 0.44 KG,"2,39€","5,43€ / KG",
Espumante ASTI Doce,GANCIA,Garrafa 0.75 LT,"8,29€","11,05€ / LT",
MIOLO DE CAMARAO 80/120,PÊCHE OCÉAN,Emb. 0.25 KG,"3,49€","13,96€ / KG",
Esparguete Cozedura Rápida,TURINI,Emb. 0.5 KG,"1,09€","2,18€ / KG",
Gelatina Light Ananás 2x15g,CONDI,Emb. 0.03 KG,"1,79€","59,67€ / KG",
Iogurte Sólido Magro Tutti-Frutti e Coco 6x120g,LONGA VIDA,,"2,09€",/ Unid.,
PREPARADO P/ ARROZ MARISCO,PÊCHE OCÉAN,Emb. 0.8 KG,"6,50€","8,13€ / KG",
COPPA FATIAS FINISSIMAS,ST AZAY,Emb. 0.1 KG,"2,99€","29,90€ / KG",
Balde para Esfregona,,Emb. 1 UNID.,"2,94€","2,94€ / UNID.",
PALITOS COBERTURA CHOCOLATE LEITE S/ GLUTEN,CHAQUE JOUR SANS GLUTEN,Emb. 0.125 KG,"2,55€","20,40€ / KG",
Alimento Húmido P/ Gato Salmão Atum Legumes,PURINA FRISKIES,Emb. 0.4 KG,"1,64€","4,10€ / KG",
Tablete de Chocolate e Leite C/ Cereais Crocantes,CRUNCH,Emb. 0.1 KG,"1,89€","18,90€ / KG",
Sabão de Marselha 4x200 g,EPSIL,,"2,89€",/ Unid.,
Macedonia de 4 Legumes,,Emb. 0.4 KG,"0,69€","1,73€ / KG",
Alimento Húmido P/ Gato Party Mix Picnic,FELIX,Emb. 0.06 KG,"1,84€","30,67€ / KG",
Pickles,,1 Unid. = 0.1 KG (aprox.),"2,59€/kg","0,26€ / Unid.",
Vinho Tinto,ECO+,Garrafão 5 LT,"5,69€","1,14€ / LT",
Ravioli Ricotta Espinafres Biológico,,Emb. 0.25 KG,"2,29€","9,16€ / KG",
Bolachas Digestivas Maça,TRIUNFO,Emb. 0.171 KG,"1,59€","9,30€ / KG",
FRALDA INCONTINENCIA MEDIA,CHORYS,Emb. 20 UNID.,"8,99€","0,45€ / UNID.",
LOMBO PORCO CURADO FATIAS,ST AZAY,Emb. 0.1 KG,"2,55€","25,50€ / KG",
Noodles Queijo e Ervas,KNORR,Emb. 0.061 KG,"0,97€","15,90€ / KG",
Queijo Emmental,LES CROISÉS,Emb. 0.25 KG,"1,89€","7,56€ / KG",
TERRA P/HORTA BIO 40L,BEAUX JOURS,Emb. 40 LT,"3,99€","0,10€ / LT",
BETERRABA EM VINAGRE 345G,FERBAR,Emb. 0.345 KG,"1,09€","3,16€ / KG",
Sumo Refrigerado Florida,SUNNY DELIGHT,Garrafa 0.31 LT,"0,78€","2,52€ / LT",
Bloco Sanitário Floral,SONASOL WC,Emb. 0.05 KG,"1,94€","38,80€ / KG",
Refrigerante com Gás Ginger Ale,SCHWEPPES,Garrafa 1 LT,"1,85€","1,85€ / LT",
Sardinha em Óleo Vegetal,BOM PETISCO,Emb. 0.12 KG,"0,99€","8,25€ / KG",
DETERGENTE LIQUIDO CONCENTRADO ALOE VERA ECOLOGICO 40D,UNÍ VERT,,"4,99€",/ Unid.,
Pêra Conference Cal. 60+,,1 Unid. = 0.21 KG (aprox.),"1,99€/kg","0,42€ / Unid.",
ALGODAO DUO QUADRADO X50,INELL,Emb. 50 UNID.,"0,79€","0,02€ / UNID.",
Alimento Seco para Gato Sterilcat Carne Vaca,PURINA ONE,Emb. 1.5 KG,"11,51€","7,67€ / KG",
Pensos Higiénicos Normal Alas,AUSONIA,Emb. 14 UNID.,"1,69€","0,12€ / UNID.",
Conserva de Cogumelos Laminados,NOTRE JARDIN,Lata 0.78 KG,"2,25€","2,88€ / KG",
Leite Bem Essencial C/ Polpa de Morango 4 Unid.,MIMOSA,Emb. 0.8 LT,"1,98€","2,48€ / LT",
Resguardo 60x90 cm,LINDOR,Emb. 15 UNID.,"7,99€","0,53€ / UNID.",
Caramelo Líquido,TABLIER BLANC,Emb. 0.4 KG,"1,29€","3,23€ / KG",
Whisky Bourbon Jack Daniels,JACK DANIEL'S,Garrafa 0.7 LT,"23,03€","32,90€ / LT",
Cenourinhas Extra Finas,NOTRE JARDIN,Emb. 0.4 KG,"1,00€","2,50€ / KG",
Compota de Frutas Maçã e Pera sem Adição de Açúcares 4x100g,DOUCEUR DU VERGER,Emb. 0.4 KG,"1,59€","3,98€ / KG",
Patê Bocadelia Recheio Atum,LA PIARA,Emb. 0.18 KG,"2,24€","12,44€ / KG",
CROQUETES P/ GATOS SENSIVEIS E DIFICEIS PREMIUM,PLENIMA,,"1,89€",/ Unid.,
Néctar Clássico Ananás 3x200 ml,COMPAL,Emb. 0.6 LT,"1,44€","2,40€ / LT",
Desodorizante Roll-On Invisible,MANAVA,Emb. 0.05 LT,"0,75€","15,00€ / LT",
Cereais Muesli Chocolate,GRAINEA,Emb. 0.5 KG,"2,39€","4,78€ / KG",
Óleo Reconstrutor,AUSSIE,Emb. 0.1 LT,"7,49€","74,90€ / LT",
Nata UHT Carbonara,PARMALAT,Emb. 0.2 LT,"1,20€","6,00€ / LT",
Vinho de Mesa Rosé,ECO+,Emb. 2 LT,"2,69€","1,35€ / LT",
SNACKS BOLAS DE QUEIJO,TOKAPI,Emb. 0.05 KG,"0,65€","13,00€ / KG",
PENSOS INCONTINENCIA MULHER MAXI,CHORYS,Emb. 12 UNID.,"2,59€","0,22€ / UNID.",
Sais de Fruta Digestivo Original,ENO DIGESTIVO,Emb. 10 UNID.,"4,99€","0,50€ / UNID.",
Luvas Finas Descartáveis Vinil Tam. M,,Emb. 0.45 KG,"6,89€","15,31€ / KG",
KINDER DELICE CACAU T10,KINDER,Emb. 0.39 KG,"3,69€","9,46€ / KG",
Vinho Verde,3 MARIAS,Emb. 1 LT,"2,40€","2,40€ / LT",
Dióspiro Clássico,,1 Unid. = 0.2 KG (aprox.),"2,59€/kg","0,52€ / Unid.",
DETERGENTE LIQUIDO PERFECT CORES 25D,EPSIL,Emb. 25 DOSES,"2,79€","0,11€ / DOSES",
Gelatina em Pó Morango 2x85 g,TABLIER BLANC,Emb. 0.17 KG,"0,85€","5,00€ / KG",
Molho de Soja,BLUE DRAGON,Emb. 0.15 LT,"1,89€","12,60€ / LT",
Alimento Seco P/ Gatos Esterilizados Salmão,PURINA FRISKIES,Emb. 1.5 KG,"6,71€","4,47€ / KG",
Champô Anti-Caspa Cuidado Suave para Todos os Tipos de Cabelo,LINIC,Emb. 0.36 LT,"4,94€","13,72€ / LT",
Marcadores de Colorir Laváveis Ponta Média,ESQUISSE,,"2,19€",/ Unid.,
PAPEL ALUMINIO 50M,ELEMBAL,Emb. 50 M,"4,49€","0,09€ / M",
Chourição Fatiado Tapas,CAMPOFRIO,Emb. 0.08 KG,"1,85€","23,13€ / KG",
Conserva de Salsichas 7 Unid. Extra Suculentas,NOBRE,Frasco 0.35 KG,"1,68€","4,80€ / KG",
Sopa de Espargos,KNORR,Emb. 0.07 KG,"1,49€","21,29€ / KG",
GEL FIXACAO BETAO 250ML,VITANOVE,Emb. 0.25 LT,"1,69€","6,76€ / LT",
PENSOS HIGIENICOS U. FINOS NORMAL+ C/ ABAS,DOULYS,Emb. 14 UNID.,"0,99€","0,07€ / UNID.",
Dentes de Alho,,Emb. 0.25 KG,"2,29€","9,16€ / KG",
Manteiga de Amendoim Cremosa sem Adição de Açúcares,CALVÉ,Emb. 0.35 KG,"3,39€","9,69€ / KG",
Doce de Laranja Biológico,,Emb. 0.375 KG,"2,15€","5,73€ / KG",
Spray Mousse Harmonias Florais,NEOBLANC,Spray 0.7 LT,"2,59€","3,70€ / LT",
