Nome,Marca,Quantidade,Preço Primário,Preço Por Unidade,Promo
Body Lotion Hidratante Express Minerais Marinhos,NIVEA,Emb. 0.25 LT,"5,49€","21,96€ / LT",
Conserva Cogumelos Inteiros,NOTRE JARDIN,Emb. 0.355 KG,"1,29€","3,63€ / KG",
Cerveja com Álcool 20x25cl,SUPER BOCK,Emb. 5 LT,"9,49€","1,90€ / LT",
TOMATE CONCENTRADO BISNAGA BIO,,Emb. 0.2 KG,"1,49€","7,45€ / KG",
Manteiga Fácil de Barrar,PRÉSIDENT,Emb. 0.25 KG,"3,09€","12,36€ / KG",
Azeite Virgem Delicado,GALLO,Emb. 0.75 LT,"3,89€","5,19€ / LT",
"Água sem Gás Mineral 6x1,5L",,Emb. 9 LT,"2,89€","0,32€ / LT",
Crepes de Chocolate 8x32g,P'TIT DÉLI,Emb. 0.256 KG,"1,99€","7,77€ / KG",
Queijo Fatiado Flamengo,TERRA NOSTRA,Emb. 0.2 KG,"2,19€","10,95€ / KG",
Pastéis de Bacalhau 10 Unid.,SNR,Emb. 0.325 KG,"3,45€","10,62€ / KG",
Condicionador Express para Pontas Espigadas em Spray,GLISS,Emb. 0.2 LT,"3,24€","16,20€ / LT",
Lula Limpa,,1 Unid. = 0.36 KG (aprox.),"5,49€/kg","1,98€ / Unid.",
Gel de Banho Active Clean,NIVEA MEN,Emb. 0.5 LT,"6,99€","13,98€ / LT",
AMACIADOR ROUPA ROSAS,HYPERDOU,Emb. 4 LT,"1,69€","0,42€ / LT",
Conserva de Feijão Branco Cozido,NOTRE JARDIN,Lata 0.85 KG,"0,99€","1,16€ / KG",
Coxa de Peru,,1 Unid. = 0.86 KG (aprox.),"2,99€/kg","2,57€ / Unid.",
Rebuçado Refrescante sem Açúcar,HALLS,Emb. 0.134 KG,"2,99€","22,31€ / KG",
Bebida Energética Ultra White Energy Zero Açúcar,MONSTER ENERGY,Emb. 0.05 LT,"1,20€","24,00€ / LT",
"AGUA NAT PET,CARVALHELHO,4x1.5L",CARVALHELHOS,,"1,79€",/ Unid.,
Perninha de Peru,,1 Unid. = 0.86 KG (aprox.),"3,60€/kg","3,10€ / Unid.",
ALGODAO,PRIMOPLAST,Emb. 0.1 KG,"0,75€","7,50€ / KG",
Mácara Rosto Filme Purificante Alisante,INELL,Emb. 2 UNID.,"1,39€","0,70€ / UNID.",
Chávena de Café Vidro 33cl,ARDENCE,1 UNID.,"1,45€","1,45€ / UNID.",
Champô Cabelos Normais Fructis 2 em 1,GARNIER,Emb. 0.25 LT,"3,95€","15,80€ / LT",
Presunto Fatiado,DAMATTA,Emb. 0.07 KG,"1,98€","28,29€ / KG",
Gel de Barbear Sensitive,NIVEA MEN,Emb. 0.2 LT,"4,49€","22,45€ / LT",
Lombo Salmão,,1 Unid. = 0.25 KG (aprox.),"14,99€/kg","3,75€ / Unid.",
RAVIOLI CARNE VACA MOLHO ITALIANO,CÔTÉ TABLE,Emb. 0.8 KG,"2,19€","2,74€ / KG",
