Nome,Marca,Quantidade,Preço Primário,Preço Por Unidade,Promo
Queijo São Jorge,QUEIJO SÃO JORGE,1 Unid. = 0.2 KG (aprox.),"11,99€/kg","2,40€ / Unid.",
Bolachas Maria sem Açúcar,GULLÓN,Emb. 0.4 KG,"2,34€","5,85€ / KG",
Bolo de Cacau,P'TIT DÉLI,Emb. 0.42 KG,"3,19€","7,60€ / KG",
Queijo Fatiado -50% Gordura,LIMIANO,Emb. 0.2 KG,"2,78€","13,90€ / KG",
Bolachas Creme Cebola,TUC,Emb. 0.1 KG,"1,18€","11,80€ / KG",
Molho de Tomate à Provençal,,Emb. 0.35 KG,"1,99€","5,69€ / KG",
Pão De Forma Rústico 0% Açúcar,PANRICO,Emb. 0.375 KG,"2,08€","5,55€ / KG",
Refrigerante S/ Gás Maracuja,ECO+,Garrafa 2 LT,"0,79€","0,40€ / LT",
Azeitona Verde Retalhada com Ervas,RUSTICA,Emb. 0.36 KG,"1,79€","4,97€ / KG",
OVOS AR LIVRE CLASSE M,OVOS DA ALDEIA,Emb. 6 UNID.,"1,39€","0,23€ / UNID.",
Polpa de Tomate,ECO+,Frasco 0.5 KG,"0,99€","1,98€ / KG",
Sumo Active Drink Frutos Exóticos / Cenoura,SANTAL,Emb. 1.5 LT,"2,13€","1,42€ / LT",
Queijo Fundido e Palitos Tostados,VACA QUE RI,Emb. 0.035 KG,"0,78€","22,29€ / KG",
NUGGETS DE FRANGO 18UN,CÔTÉ CROC,Emb. 0.45 KG,"4,29€","9,53€ / KG",
Iogurte Natural 4x125 g,,Emb. 0.5 KG,"0,65€","1,30€ / KG",
Ração P/ Gato Esterlizado C/ Salmão,ULTIMA,Emb. 0.8 KG,"7,48€","9,35€ / KG",
LAMINAS DESCARTAVEIS SENHORA 3 LAMINAS 4UN,SLISS,Emb. 4 UNID.,"2,99€","0,75€ / UNID.",
Ambientador Pure Nenuco Frescura Colónia de Bebé,AIR WICK,Spray 0.25 LT,"4,19€","16,76€ / LT",
Queijo Fatiado -50% Gordura 2X200 g,TERRA NOSTRA,Emb. 0.4 KG,"5,18€","12,95€ / KG",
"GEL DUCHE ""MATCHA/GENGIBRE"" CONCENTRADO",NATEIS,,"1,85€",/ Unid.,
Pensos Higiénicos Salvaslip MaxiPlus,EVAX,Emb. 30 UNID.,"2,98€","0,10€ / UNID.",
Vinho Regional Alentejano Tinto,GALITOS,Garrafa 0.75 LT,"2,28€","3,04€ / LT",
BOLACHA MARIA DOURADA,P'TIT DÉLI,,"1,69€",/ Unid.,
Gomas Trio Brilho,COPAÍNS COPINES,Emb. 0.2 KG,"0,99€","4,95€ / KG",
