Nome,Marca,Quantidade,Preço Primário,Preço Por Unidade,Promo
Deo Spray 0% Sensitive 24H,SANEX,Emb. 0.15 LT,"2,69€","17,93€ / LT",
Detergente para a Máquina da Loiça Extra Power,SUN,Emb. 76 PASTILHAS,"9,99€","0,13€ / PASTILHAS",
GELADO BAUNILHA E SORVETE F.VERMELHOS 900ML ESKISS,ESKISS,Emb. 0.9 LT,"2,49€","2,77€ / LT",
Vinho Branco Alentejo Doc Reserva,REGUENGOS,Garrafa 0.75 LT,"5,99€","7,99€ / LT",
Bebida Solúvel Cereais Cevada Chicória e Café,TOFINA,Frasco 0.2 KG,"2,24€","11,20€ / KG",
Bebida de Arroz Original,SHOYCE,Emb. 1 LT,"1,79€","1,79€ / LT",
Batata Branca P/ Assar,,Emb. 1 KG,"1,19€","1,19€ / KG",
Snack Rodeo Carne de Vaca,PEDIGREE,Emb. 0.07 KG,"1,69€","24,14€ / KG",
Elixir Oral Dentes & Gengivas Menta Fresca,LISTERINE,Emb. 1 LT,"8,99€","8,99€ / LT",
Ambientador Recarga Portátil Relax Zen Lavanda e Jasmim,GLADE,Emb. 3 UNID.,"10,78€","3,59€ / UNID.",
Molho Piri-piri Extra Picante,PALADIN,Emb. 0.075 LT,"1,79€","23,87€ / LT",
Cereais Pétalas Chocolate Leite,GRAINEA,Emb. 0.3 KG,"1,49€","4,97€ / KG",
Ração para cão c/ Frango e Arroz,ULTIMA,Emb. 7.5 KG,"43,29€","5,77€ / KG",
Lentilhas Verdes Secas,NOTRE JARDIN,Emb. 0.5 KG,"1,49€","2,98€ / KG",
Presunto sem Osso,,1 Unid. = 1 KG (aprox.),"16,99€/kg","16,99€ / Unid.",
Gressinos com Creme de Avelã 3x60g,NUSTIKAO,Emb. 0.18 KG,"2,19€","12,17€ / KG",
Cera Fixadora,AXE,Emb. 0.075 LT,"3,99€","53,20€ / LT",
Barra Cereais Chocolate Preto,GRAINEA,Emb. 0.126 KG,"1,49€","11,83€ / KG",
Doce de Framboesa,CASA MATEUS,Frasco 0.345 KG,"2,69€","7,80€ / KG",
Penso Incontinência Discreet Normal,AUSONIA,Emb. 12 UNID.,"2,99€","0,25€ / UNID.",
Bolachas Maria sem Açúcar,GULLÓN,Emb. 0.4 KG,"2,34€","5,85€ / KG",
Barquette Morango,LULU,Emb. 0.12 KG,"1,99€","16,58€ / KG",
Vinho Regional Douro Tinto,ESTEVA,Garrafa 0.75 LT,"4,99€","6,65€ / LT",
Bolo de Cacau,P'TIT DÉLI,Emb. 0.42 KG,"3,19€","7,60€ / KG",
AUSCULTADORES C/MICRO PRETO,LINKSTER,Emb. 1 UNID.,"11,99€","11,99€ / UNID.",
Refrigerante S/ Gás Maracuja,ECO+,Garrafa 2 LT,"0,79€","0,40€ / LT",
Azeitona Verde Retalhada com Ervas,RUSTICA,Emb. 0.36 KG,"1,79€","4,97€ / KG",
OVOS AR LIVRE CLASSE M,OVOS DA ALDEIA,Emb. 6 UNID.,"1,39€","0,23€ / UNID.",
Polpa de Tomate,ECO+,Frasco 0.5 KG,"0,99€","1,98€ / KG",
Conserva de Atum em Posta em Azeite,PÊCHE OCÉAN,Emb. 0.12 KG,"1,09€","9,08€ / KG",
NUGGETS DE FRANGO 18UN,CÔTÉ CROC,Emb. 0.45 KG,"4,29€","9,53€ / KG",
Pacotinho de Cereais e Mel,NESTUM,Emb. 0.08 KG,"0,99€","12,38€ / KG",
LAMINAS DESCARTAVEIS SENHORA 3 LAMINAS 4UN,SLISS,Emb. 4 UNID.,"2,99€","0,75€ / UNID.",
Ambientador Pure Nenuco Frescura Colónia de Bebé,AIR WICK,Spray 0.25 LT,"4,19€","16,76€ / LT",
"GEL DUCHE ""MATCHA/GENGIBRE"" CONCENTRADO",NATEIS,,"1,85€",/ Unid.,
Queijo Manchego,DIAZ MIGUEL,Quant. Mínima = 0.2 KG (aprox.),"20,99€/kg","4,20€ / Unid.",
Saboneteira Branco,SILLAGE,Emb. 1 UNID.,"1,49€","1,49€ / UNID.",
Iogurte de Banana 4 Unid.,IOGOLINO,Emb. 0.4 KG,"2,59€","6,48€ / KG",
ATRIX CR PROTECCAO SUAVE,ATRIX,Emb. 0.1 LT,"4,99€","49,90€ / LT",
Vinho Verde Branco,AVELEDA,Garrafa 0.75 LT,"4,99€","6,65€ / LT",
BOLACHA MARIA DOURADA,P'TIT DÉLI,,"1,69€",/ Unid.,
Gomas Trio Brilho,COPAÍNS COPINES,Emb. 0.2 KG,"0,99€","4,95€ / KG",
Queijo de Barrar com Leite Pasteurizado,LES CROISÉS,Emb. 0.15 KG,"0,89€","5,93€ / KG",
Refrigerante sem Gás Laranja,FRUTIS,Garrafa 1.5 LT,"1,15€","0,77€ / LT",
Bebida Gaseificada Aromatizada de Pêssego S/ Álcool,FESTALIE,Garrafa 0.75 LT,"2,49€","3,32€ / LT",
Alimento Seco P/ Gato C/ Frango Peru,PURINA FRISKIES,Emb. 2 KG,"7,99€","4,00€ / KG",
Champô Volume Toranja Branca e Menta,HERBAL ESSENCES,Emb. 0.4 LT,"3,99€","9,98€ / LT",
CREPES SIMPLES 16UN,TROFIC,Emb. 1 KG,"3,99€","3,99€ / KG",
BATATA FRITA PALHA FINISSIMA,POM'LISSE,,"1,39€",/ Unid.,
Limpa Vidros Anti Embaciamento,AJAX,Spray 0.5 LT,"3,59€","7,18€ / LT",
OIKOS CARAMELO 110G X4,OIKOS,Emb. 0.44 KG,"2,39€","5,43€ / KG",
MIOLO DE CAMARAO 80/120,PÊCHE OCÉAN,Emb. 0.25 KG,"3,49€","13,96€ / KG",
Esparguete Cozedura Rápida,TURINI,Emb. 0.5 KG,"1,09€","2,18€ / KG",
Vitelão para Cozer,,1 Unid. = 0.85 KG (aprox.),"5,89€/kg","5,01€ / Unid.",
Iogurte Sólido Magro Tutti-Frutti e Coco 6x120g,LONGA VIDA,,"2,09€",/ Unid.,
COPPA FATIAS FINISSIMAS,ST AZAY,Emb. 0.1 KG,"2,99€","29,90€ / KG",
PREPARADO P/ ARROZ MARISCO,PÊCHE OCÉAN,Emb. 0.8 KG,"6,50€","8,13€ / KG",
Tablete de Chocolate Negro,NESTLÉ,Emb. 0.125 KG,"1,99€","15,92€ / KG",
LENCOS FACIAIS 3F ECO,UNÍ VERT,Emb. 100 UNID.,"1,69€","0,02€ / UNID.",
Queijo Bola Flamengo,TERRA NOSTRA,Emb. 1.4 KG (aprox.),"9,99€/kg","13,99€ / Unid.",
Concentrado de Maracujá Miix,SUNQUICK,Emb. 0.58 LT,"4,79€","8,26€ / LT",
PALITOS COBERTURA CHOCOLATE LEITE S/ GLUTEN,CHAQUE JOUR SANS GLUTEN,Emb. 0.125 KG,"2,55€","20,40€ / KG",
Açúcar Amarelo,SORES,Emb. 1 KG,"1,29€","1,29€ / KG",
Sabão de Marselha 4x200 g,EPSIL,,"2,89€",/ Unid.,
Macedonia de 4 Legumes,,Emb. 0.4 KG,"0,69€","1,73€ / KG",
Durex Play Lubrificante de Morango,DUREX,Emb. 0.05 LT,"7,49€","149,80€ / LT",
Vinho Tinto,ECO+,Garrafão 5 LT,"5,69€","1,14€ / LT",
Ravioli Ricotta Espinafres Biológico,,Emb. 0.25 KG,"2,29€","9,16€ / KG",
FRALDA INCONTINENCIA MEDIA,CHORYS,Emb. 20 UNID.,"8,99€","0,45€ / UNID.",
Toffee Crisp 4x38g,NESTLÉ,Emb. 0.152 KG,"3,39€","22,30€ / KG",
LOMBO PORCO CURADO FATIAS,ST AZAY,Emb. 0.1 KG,"2,55€","25,50€ / KG",
Chipicao Mini Croissant Pack Creme de Cacau,CHIPICAO,Emb. 0.199 KG,"2,09€","10,50€ / KG",
Queijo Emmental,LES CROISÉS,Emb. 0.25 KG,"1,89€","7,56€ / KG",
Máquina de Depilar Descartável Oceana,GILLETTE,Emb. 4 UNID.,"8,99€","2,25€ / UNID.",
BETERRABA EM VINAGRE 345G,FERBAR,Emb. 0.345 KG,"1,09€","3,16€ / KG",
Sumo Refrigerado Florida,SUNNY DELIGHT,Garrafa 0.31 LT,"0,78€","2,52€ / LT",
Bloco Sanitário Floral,SONASOL WC,Emb. 0.05 KG,"1,94€","38,80€ / KG",
Sardinha em Óleo Vegetal,BOM PETISCO,Emb. 0.12 KG,"0,99€","8,25€ / KG",
Massa Argolinhas Clássica,NACIONAL,Emb. 0.25 KG,"0,85€","3,40€ / KG",
QUEIJO FRESCO COTTAGE,MATINAL,Emb. 0.18 KG,"1,89€","10,50€ / KG",
Pêra Conference Cal. 60+,,1 Unid. = 0.21 KG (aprox.),"1,99€/kg","0,42€ / Unid.",
Arroz Agulha,LOURO,Emb. 1 KG,"1,39€","1,39€ / KG",
Bolachas Cream Cracker Nova Receita,VIEIRA,Emb. 0.2 KG,"1,24€","6,20€ / KG",
ALGODAO DUO QUADRADO X50,INELL,Emb. 50 UNID.,"0,79€","0,02€ / UNID.",
Pensos Higiénicos Normal Alas,AUSONIA,Emb. 14 UNID.,"1,69€","0,12€ / UNID.",
Conserva de Cogumelos Laminados,NOTRE JARDIN,Lata 0.78 KG,"2,25€","2,88€ / KG",
