Nome,Preço,Preço/Kg
Courgete (1 un = 510 g aprox),"1,52 €","2,99 €/Kg"
DIA AL PUNTO Pizza Romana 410 g,"2,69 €","6,56 €/Kg"
NOBRE Extra Suculento Fiambre Fatias Finas 100 g,"1,29 €","12,90 €/Kg"
NOBRE Suave Sabor Chourição Fatias 100 g,"1,35 €","13,50 €/Kg"
NOBRE Suave Sabor Presunto Fatias 70 g,"1,99 €","28,43 €/Kg"
DIA PRA JÁ! Cheeseburguer de Porco 2x150 g,"2,85 €","9,50 €/Kg"
NOBRE Extra Suculento Fiambre Fatias Clássicas 100 g,"1,20 €","12,00 €/Kg"
CAMPOFRIO Forno de Lenha Peito de Peru Fatias Clássicas 120 g,"2,69 €","22,42 €/Kg"
DIA VITAL Sementes de Girassol 200 g,"1,43 €","7,15 €/Kg"
DIA NATULEV Bagas de Goji 150 g,"3,08 €","20,53 €/Kg"
DIA VITAL Sementes de Linhaça Amarela 250 g,"1,43 €","5,72 €/Kg"
DAMATTA Presunto Sabor Português 70 g,"2,79 €","39,86 €/Kg"
PRISCA Alheira de Caça 180 g,"2,79 €","15,50 €/Kg"
DIA SABOR CHARCUTEIRO Peito de Peru Fatias Finas 100 g,"1,29 €","12,90 €/Kg"
DIA SABOR CHARCUTEIRO Paio do Lombo 125 g,"1,75 €","14,00 €/Kg"
CEM PORCENTO Mix Sementes Tradicional 250 g,"1,99 €","7,96 €/Kg"
DAMATTA Supremos de Presunto 2x75 g,"5,15 €","34,33 €/Kg"
DIA SABOR CHARCUTEIRO Alheira Trasmontana 200 g,"1,19 €","5,95 €/Kg"
Tomate (1 un = 215 g aprox),"0,64 €","2,99 €/Kg"
DIA SABOR CHARCUTEIRO Chouriço Corrente 200 g,"1,19 €","5,95 €/Kg"
DIA SABOR CHARCUTEIRO Linguiça 150 g,"1,19 €","7,93 €/Kg"
CAMPOFRIO Pizza Queijo E Fiambre 360 g,"3,39 €","9,42 €/Kg"
CORTE DO DIA Espetadas de Peru Embaladas (1 un = 610 g aprox),"4,57 €","7,49 €/Kg"
HORTA DO DIA Rúcula Selvagem Embalada 100 g,"1,04 €","10,40 €/Kg"
DIA SABOR CHARCUTEIRO Fatias de Afiambrado 2x110 g,"1,49 €","6,77 €/Kg"
DIA AL PUNTO Pizza Carbonara 400 g,"2,69 €","6,73 €/Kg"
