Nome,Preço,Preço Antigo,PpU,PpU Antigo
REGINA Tablete Chocolate de Leite Aroma Laranja 20 g,"0,59 €",,"29,50 €/Kg",
REGINA Tablete Chocolate de Leite Aroma Maracujá 20 g,"0,59 €",,"29,50 €/Kg",
GRAN PAVESI Bolacha Cracker com Sal 560 g,"3,99 €",,"7,13 €/Kg",
FERBAR Goiabada 300 g,"2,99 €",,"9,97 €/Kg",
DELTA Q Cápsulas de Café QHarisma Intensidade 12 10 Un,"2,99 €",,"0,30 €/ud",
"FITNESS Cereais de Granola, Aveia E Mel 300 g","3,99 €",,"13,30 €/Kg",
NICOLA Cápsulas de Café Bocage 16 Un,"4,64 €",,"0,29 €/ud",
TRIDENT Pastilhas Elásticas Max Splash Morango Lima 22 g,"0,95 €",,"43,18 €/Kg",
DELTA Q Cápsulas de Café Pack Intensidade 40 Un,"12,99 €",,"0,32 €/ud",
"TRIDENT Pastilhas Bottle Frutos Silvestres 82,6 g","2,99 €",,"36,20 €/Kg",
OREO Bolachas Strawberry Cheesecake 154 g,"1,49 €",,"9,68 €/Kg",
TRIDENT Pastilhas Elásticas Max Watermelon Frost 20 g,"0,95 €",,"47,50 €/Kg",
GULLÓN Bolachas Crocantes de Frutas Vitalday 300 g,"2,29 €",,"7,63 €/Kg",
TETLEY Infusão Immune Vit C (Limão e Gengibre) 20 un,"2,84 €","3,79 €","0,14 €/ud","0,19 €/ud"
TETLEY Infusão Verde Detox 20 Un,"2,84 €","3,79 €","0,14 €/ud","0,19 €/ud"
CEM PORCENTO Chocolate Negro com Stevia 100 g,"2,49 €",,"24,90 €/Kg",
SICAL Café Torrado 5 estrelas Lote Tradição Moagem Universal 250 g,"2,59 €","3,49 €","10,36 €/Kg","13,96 €/Kg"
NACIONAL Chocomax 650 g,"3,95 €",,"6,08 €/Kg",
VAHINÉ Rolinhos Cacau 65 g,"1,59 €",,"24,46 €/Kg",
VAHINÉ Baunilha Em Vagem 3 g,"7,99 €",,"2.663,33 €/Kg",
TRIDENT Pastilhas Elásticas Max Melancia & Pêssego 23 g,"0,95 €",,"41,30 €/Kg",
TRIDENT Pastilhas Elásticas Senses Berry 23 g,"0,95 €",,"41,30 €/Kg",
TRIDENT Pastilhas Elásticas Senses Melancia 23 g,"0,95 €",,"41,30 €/Kg",
DELTA Café Moagem Universal Angola 220 g,"3,69 €",,"16,77 €/Kg",
DELTA Q Cápsulas de Café Q Epic Intensidade 14 10 Un,"3,99 €",,"0,40 €/ud",
QUINTA DE JUGAIS Doce de Figo com Noz 280 g,"2,74 €",,"9,79 €/Kg",
QUAKER Cereais Muesli Goju & Mirtilos 350 g,"3,69 €",,"10,54 €/Kg",
ROYAL Gelatina de Frutos do Bosque Light 10 Kcal 31 g,"2,09 €",,"67,42 €/Kg",
"SPECIAL K Barra de Cereais Proteína Coco, Cacau & Caju 4x28 g","2,24 €",,"20,00 €/Kg",
ESTRELITAS Cereais de Mel Nestlé 550 g,"4,19 €",,"7,62 €/Kg",
CRUNCH Chocolate Dark Nestlé 100 g,"1,99 €",,"19,90 €/Kg",
NACIONAL Papas de Aveia com canela 60 g,"1,19 €",,"19,83 €/Kg",
NATURE VALLEY Barrita Aveia & Mel 210 g,"2,99 €",,"14,24 €/Kg",
NATURE VALLEY Barrita Aveia & Chocolate Negro 210 g,"2,99 €",,"14,24 €/Kg",
KINDER BUENO Chocolate 4x43 g,"3,29 €",,"19,13 €/Kg",
ROYAL Gelatina de Melancia Light 10Kcal 31 g,"2,09 €",,"67,42 €/Kg",
ROYAL Gelatina Tropical Light 10Kal 31 g,"2,09 €",,"67,42 €/Kg",
ARTIACH DINOSAUROS Bolachas Dinossauros Cookieness 185 g,"2,29 €",,"12,38 €/Kg",
FERRERO ROCHER Bombons 16 un,"4,09 €","5,49 €","20,45 €/Kg","27,45 €/Kg"
NESTLÉ Bombons Caja Roja 200 g,"7,49 €",,"37,45 €/Kg",
KINDER DELICE Bolo com cobertura de cacau e recheio cremoso 4 Un,"2,29 €",,"14,68 €/Kg",
MERCI Bombons 250 g,"4,74 €","7,29 €","18,96 €/Kg","29,16 €/Kg"
MILKA Chocolate Confetti  100 g,"1,34 €","1,69 €","13,40 €/Kg","16,90 €/Kg"
FERRERO COLLECTION Bombons 15 Un,"7,89 €",,"45,09 €/Kg",
"HALLS Rebuçados Mini Mints Menta 12,5 g","1,19 €",,"95,20 €/Kg",
"HALLS Rebuçados Mini Mints Melancia 12,5 g","1,19 €",,"95,20 €/Kg",
MILKA I Love Milka Nougat  110 g,"4,59 €",,"41,73 €/Kg",
FERRERO PRESTIGE Bombons 21 Un,"10,49 €",,"42,47 €/Kg",
RAFFAELLO Bombons 15 Un,"3,99 €",,"26,60 €/Kg",
MILKA I Love Milka Morango  110 g,"4,59 €",,"41,73 €/Kg",
DIA TEMPTATION Sortido de Bombons Sem Açúcar 300 g,"4,99 €",,"16,63 €/Kg",
DIA Topping Cobertura De Morango 295 g,"2,19 €",,"7,42 €/Kg",
DIA Topping Cobertura de Chocolate 295 g,"2,45 €",,"8,31 €/Kg",
DIA Barrita Chocolate E Avelã 110 g,"1,59 €",,"13,83 €/Kg",
DIA GALLETECA Sticks Choco Bolacha 75 g,"1,79 €",,"23,87 €/Kg",
