NAME,BRAND,QUANTITY,PRICE,PPU,OLDPRICE,OLDPPU,EAN
SYOSS Champô Volume 440 ml,SYOSS,,"3,49 €","7,93 €/l","7,69 €","17,48 €/l",
SYOSS Champô Cores 440 ml,SYOSS,,"3,49 €","7,93 €/l","6,99 €","15,89 €/l",
SYOSS Laca Máximo Segurar  400 ml,SYOSS,,"4,97 €","12,42 €/l","8,54 €","21,35 €/l",
SYOSS Coloração 4-8 Castanho Chocolate  1 un,SYOSS,,"5,39 €","5,39 €/ud","9,26 €","9,26 €/ud",
PALMOLIVE Sabonete Naturals Amêndoa e Leite 4x90 g,PALMOLIVE,,"4,49 €","12,47 €/Kg",,,
PANTENE Máscara Caracóis Perfeitos 300 ml,PANTENE,,"6,59 €","21,97 €/l",,,
ULTRA SUAVE Creme Pentear Abacate/Kartité 200 ml,ULTRA SUAVE,,"3,49 €","17,45 €/l",,,
NIVEA Máscara Vissage Q10 15 ml,NIVEA,,"2,99 €","199,33 €/l",,,
DIADERMINE Creme de Rosto Lift + Efeito Imediato 50 ml,DIADERMINE,,"8,79 €","175,80 €/l",,,
ATRIX Creme de Proteção Intensiva 150 ml,ATRIX,,"4,99 €","33,27 €/l",,,
NIVEA Sabão Sólido Milk 90 g,NIVEA,,"1,19 €","13,22 €/Kg",,,
NIVEA Sabão Sólido Strawberry 90 g,NIVEA,,"1,19 €","13,22 €/Kg",,,
NIVEA Sabão Sólido Coconut & Almond Oil 90 g,NIVEA,,"1,19 €","13,22 €/Kg",,,
NIVEA Sabão Sólido Aloe Vera & Flowers 90 g,NIVEA,,"1,19 €","13,22 €/Kg",,,
AQUAFRESH Pasta de Dentes Menta Fresca 75 ml,AQUAFRESH,,"2,39 €","31,87 €/l",,,
GLISS Champô Protecção Cores  370 ml,GLISS,,"3,29 €","8,89 €/l","6,79 €","18,35 €/l",
NIVEA MEN Desodorizante Spray Invisible Black & White Original 150 ml,NIVEA MEN,,"2,81 €","18,73 €/l",,,
PALMOLIVE Sabonete Líquido Leite Amêndoas 300 ml,PALMOLIVE,,"3,79 €","12,63 €/l",,,
LINIC Champô Eficácia Ativa Homem 225 ml,LINIC,,"4,49 €","19,96 €/l",,,
NIVEA Tónico Facial Suave 200 ml,NIVEA,,"5,99 €","29,95 €/l",,,
NIVEA Creme Facial Dia Cellular Anti-Age 50 ml,NIVEA,,"21,62 €","432,40 €/l",,,
ELVIVE Amaciador Fortificante Full Resist 200 ml,ELVIVE,,"3,99 €","19,95 €/l",,,
ELVIVE Champô Fortificante Full Resist 250 ml,ELVIVE,,"3,99 €","15,96 €/l",,,
PANTENE Ampolas Protect 1 Minuto 3x15 ml,PANTENE,,"4,64 €","103,11 €/l",,,
SENSODYNE Dentífrico Ação Completa  75 ml,SENSODYNE,,"4,99 €","66,53 €/l",,,
SYOSS Coloração Óleo Intense 9.10 Louro Luminoso 1 Un,SYOSS,,"6,77 €","6,77 €/ud","11,63 €","11,63 €/ud",
SYOSS Coloração Óleo Intense 7.10 Louro Natural 1 Un,SYOSS,,"6,77 €","6,77 €/ud","11,63 €","11,63 €/ud",
EXCELLENCE Coloração Permanente Excellence Creme Avelã 6.41 1 Un,EXCELLENCE,,"11,99 €","11,99 €/ud",,,
SYOSS Coloração Óleo Intense 1.10 Preto Intenso 1 Un,SYOSS,,"6,77 €","6,77 €/ud","11,63 €","11,63 €/ud",
SYOSS Coloração Óleo Intense 4.18 Castanho Praliné  1 un,SYOSS,,"6,77 €","6,77 €/ud","11,63 €","11,63 €/ud",
SYOSS Coloração Óleo Intense 5.86 Castanho Caramelo  1 un,SYOSS,,"6,77 €","6,77 €/ud","11,63 €","11,63 €/ud",
PALMOLIVE Sabonete Líquido Recarga Leite & Mel 300 ml,PALMOLIVE,,"2,99 €","9,97 €/l",,,
DIA Álcool Etílico Sanitário 70º 250 ml,DIA,,"0,79 €","3,16 €/l",,,
ELVIVE Champô Color Vive 400 ml,ELVIVE,,"5,99 €","14,98 €/l",,,
DIA BONTÉ Protege Slip Aloe Vera 30 Un,DIA BONT,,"1,59 €","0,05 €/ud",,,
DIA BONTÉ Escova Interdental Fina 6 Un,DIA BONT,,"2,49 €","0,42 €/ud",,,
DIA BONTÉ Arcos Dentais 30 Un,DIA BONT,,"2,49 €","0,08 €/ud",,,
DIA BONTÉ Máquina de Barbear 5 Lâminas 1 Un,DIA BONT,,"4,00 €","4,00 €/ud",,,
DIA BONTÉ Recarga Máquina Barbear 4 Un,DIA BONT,,"4,52 €","1,13 €/ud",,,
DOVE Desodorizante Roll-On Invisible Dry  50 ml,DOVE,,"4,69 €","93,80 €/l",,,
DIA BONTÉ Gel Íntimo Sensitive 250 ml,DIA BONT,,"2,10 €","8,40 €/l",,,
GARNIER Água Micelar Tudo em 1 400 ml,GARNIER,,"6,99 €","17,48 €/l",,,
DIA BONTÉ Creme Pés Urea 10% 125 ml,DIA BONT,,"3,39 €","27,12 €/l",,,
COLGATE Elixir Tripla Acção 500 ml,COLGATE,,"3,74 €","7,48 €/l",,,
DIA BONTÉ Gel Aloe 100% 400 ml,DIA BONT,,"3,42 €","8,55 €/l",,,
DIA BONTÉ Loção Corporal Viagem 100 ml,DIA BONT,,"1,19 €","11,90 €/l",,,
DIA BONTÉ Body Milk Reafirmante Anti Idade 500 ml,DIA BONT,,"2,79 €","5,58 €/l",,,
DIA BONTÉ Óleo de Argan Capilar 100 ml,DIA BONT,,"4,60 €","46,00 €/l",,,
REXONA Desodorizante Roll-On Biorythm 50 ml,REXONA,,"2,69 €","53,80 €/l",,,
VEET Creme Descolorante 2x30 ml,VEET,,"4,89 €","81,50 €/l",,,
ULTRA SUAVE Condicionador Tesouros de Mel  200 ml,ULTRA SUAVE,,"2,15 €","10,75 €/l",,,
SYOSS Condicionador Keratin 440 ml,SYOSS,,"3,49 €","7,93 €/l","9,99 €","22,70 €/l",
SYOSS Champô Keratin 440 ml,SYOSS,,"3,49 €","7,93 €/l","7,20 €","16,36 €/l",
DOVE Desodorizante Roll-On Men Extra Fresh 50 ml,DOVE,,"4,69 €","93,80 €/l",,,
DOVE Desodorizante Roll-On Men Clean Confort 50 ml,DOVE,,"4,69 €","93,80 €/l",,,
