Nome,Preço,Preço Antigo,PpU,PpU Antigo
NIVEA Creme Facial Dia Cellular Anti-Age 50 ml,"21,62 €",,"432,40 €/l",
DIA BONTÉ Pasta de Dentes Sensitive 100 ml,"1,35 €",,"13,50 €/l",
ELVIVE Amaciador Fortificante Full Resist 200 ml,"3,99 €",,"19,95 €/l",
ELVIVE Champô Fortificante Full Resist 250 ml,"3,99 €",,"15,96 €/l",
PANTENE Ampolas Protect 1 Minuto 3x15 ml,"4,64 €",,"103,11 €/l",
DIA BONTÉ Penso Incontinencia Mini 30 Un,"3,19 €",,"0,11 €/ud",
SENSODYNE Dentífrico Ação Completa  75 ml,"4,99 €",,"66,53 €/l",
SYOSS Coloração Óleo Intense 9.10 Louro Luminoso 1 Un,"11,63 €",,"11,63 €/ud",
SYOSS Coloração Óleo Intense 7.10 Louro Natural 1 Un,"11,63 €",,"11,63 €/ud",
EXCELLENCE Coloração Permanente Excellence Creme Avelã 6.41 1 Un,"11,99 €",,"11,99 €/ud",
SYOSS Coloração Óleo Intense 1.10 Preto Intenso 1 Un,"11,63 €",,"11,63 €/ud",
SYOSS Coloração Óleo Intense 4.18 Castanho Praliné  1 un,"11,63 €",,"11,63 €/ud",
SYOSS Coloração Óleo Intense 5.86 Castanho Caramelo  1 un,"11,63 €",,"11,63 €/ud",
COLGATE Escova Dentes Slim & Soft 1 un,"3,99 €",,"3,99 €/ud",
PALMOLIVE Sabonete Líquido Recarga Leite & Mel 300 ml,"2,99 €",,"9,97 €/l",
DIA Álcool Etílico Sanitário 70º 250 ml,"0,79 €",,"3,16 €/l",
ELVIVE Champô Color Vive 400 ml,"5,99 €",,"14,98 €/l",
DIA BONTÉ Protege Slip Aloe Vera 30 Un,"1,59 €",,"0,05 €/ud",
DIA BONTÉ Escova Interdental Extra Fina  6 un,"2,49 €",,"0,42 €/ud",
DIA BONTÉ Arcos Dentais 30 Un,"2,49 €",,"0,08 €/ud",
DIA BONTÉ Máquina de Barbear 5 Lâminas 1 Un,"4,00 €",,"4,00 €/ud",
DIA BONTÉ Recarga Máquina Barbear 4 Un,"4,52 €",,"1,13 €/ud",
