Nome,Preço,Preço Antigo,PpU,PpU Antigo
DIA DELI SALGADO Croquetes de Carne 12 Un,"1,93 €",,"5,51 €/Kg",
DIA PRA JÁ! Bacalhau À Brás 300 g,"2,39 €",,"7,97 €/Kg",
DIA (A) MAR À VISTA Posta Média Bacalhau Demolhado Ultracongelado 800 g,"6,59 €",,"8,24 €/Kg",
DIA Pizza 4 Estações 350 g 350 g,"3,18 €",,"9,09 €/Kg",
DIA MARI MARINHEIRA Lula Limpa 400 g,"6,19 €",,"15,48 €/Kg",
DIA BATATAS UNIDAS Batata Pré-Frita Palitos Para Forno 1 kg,"2,05 €",,"2,05 €/Kg",
IGLO Lombos de Pescada 400 g,"4,29 €",,"10,73 €/Kg",
PESCANOVA Mimos de Pescada 360 g,"3,69 €",,"10,25 €/Kg",
DIA É TÃO FISH! Medalhões de Pescada 400 g,"3,39 €","3,80 €","8,48 €/Kg","9,50 €/Kg"
DR. OETKER Ristorante Mozzarella 335 g,"3,69 €",,"11,01 €/Kg",
BUITONI Mini Pizza Piccolinis Capricciosa 270 g,"3,99 €",,"14,78 €/Kg",
BONDUELLE Grelos Em Folhas 400 g,"2,24 €",,"5,60 €/Kg",
DIA AL PUNTO Salteado de Cogumelos 450 g,"2,19 €",,"4,87 €/Kg",
DIA (A) MAR À VISTA Posta Tradicional Bacalhau Demolhado Ultracongelado 800 g,"10,29 €",,"12,86 €/Kg",
BRASMAR Preparado Marisco 450 g,"4,29 €",,"9,53 €/Kg",
BRASMAR Ameijoa Vietnamita Com Casca,"2,54 €",,"2,54 €/Kg",
DIA (A) MAR À VISTA Lombos de Bacalhau Demolhado Ultracongelado 800 g,"13,09 €",,"16,36 €/Kg",
PESCANOVA Bacalhau Desfiado Fresco 400 g,"4,34 €",,"10,85 €/Kg",
PESCANOVA Barrinhas de Pescada 15 Un,"3,49 €",,"7,76 €/Kg",
PESCANOVA Posta de Pescada do Cabo Nº3 600 g,"5,09 €",,"8,48 €/Kg",
IGLO Barrinhas de Salmão Douradinhos 280 g,"5,69 €",,"20,32 €/Kg",
BUITONI Mini Pizza Piccolinis Salsicha 270 g,"3,99 €",,"14,78 €/Kg",
IGLO Tranches de Salmão Selvagem do Pacífico 250 g,"9,99 €",,"39,96 €/Kg",
DIA VEGECAMPO Favas 1 kg,"1,79 €",,"1,79 €/Kg",
CARTE D'OR Gelado Baunilha E Nozes Pecan 900 ml,"3,29 €",,"3,66 €/l",
CARTE D'OR Gelado de Morango E Merengue 900 ml,"3,29 €",,"3,66 €/l",
DR. OETKER Ristorante Queijo E Fiambre 330 g,"3,69 €",,"11,18 €/Kg",
PESCANOVA Tiras de Pota 500 g,"3,18 €",,"6,36 €/Kg",
DIA DOCE NO LAR Petit Gateau 4x80 g,"3,39 €",,"10,59 €/Kg",
IGLO Filetes Primavera Com Alho & Ervas 2 un,"4,99 €",,"22,18 €/Kg",
IGLO Ervilhas 700 g,"3,99 €",,"5,70 €/Kg",
IGLO Lasanha Bolonhesa 300 g,"3,49 €",,"11,63 €/Kg",
CARTE D'OR Gelado de Chocolate Brownie 900 ml,"3,29 €",,"3,66 €/l",
CARTE D'OR Gelado Caramelo Salgado 900 ml,"3,29 €",,"3,66 €/l",
CRISTAL ICE Gelo Cristal Ice 2 kg,"1,00 €",,"0,50 €/Kg",
CORNETTO Gelados Multipack Cornetto Morango 6x90 ml,"4,99 €",,"9,24 €/l",
DIA VEGECAMPO Macedónia de Legumes 1 kg,"1,65 €",,"1,65 €/Kg",
DIA VEGECAMPO Espinafres Em Folha 400 g,"0,74 €",,"1,85 €/Kg",
BRASMAR Camarão Aquacultura 60/80,"10,49 €",,"10,49 €/Kg",
DIA TEMPTATION Gelado de Baunilha E Morango 2 L,"2,65 €",,"1,33 €/l",
IGLO Barrinhas de Pescada Douradinhos 30 Un,"10,69 €",,"12,73 €/Kg",
IGLO Hambúrguer Frango Sem Glúten 4 Un,"5,99 €",,"24,96 €/Kg",
IGLO Hambúrguer Vaca Sem Glúten 4 Un,"5,99 €",,"18,72 €/Kg",
IGLO Ervilhas Primavera 500 g,"2,59 €",,"5,18 €/Kg",
IGLO Crocante de Frango Cordon Bleu 200 g,"3,49 €",,"17,45 €/Kg",
DIA BATATAS UNIDAS Batata Pré-Frita Palitos 1 kg,"2,05 €",,"2,05 €/Kg",
DR. OETKER Casa Di Mama Pizza Prosciutto & Funghi 380 g,"5,49 €",,"14,45 €/Kg",
PESCANOVA Choco Limpo 500 g,"8,49 €",,"16,98 €/Kg",
DR. OETKER Casa Di Mama Pizza Quatro Formaggi 395 g,"5,49 €",,"13,90 €/Kg",
DIA Pizza Hawai 350 g,"3,18 €",,"9,09 €/Kg",
DIA TEMPTATION Gelado Doce de Leite 900 ml,"2,59 €",,"2,88 €/l",
DIA MARI MARINHEIRA Camarão Selvagem Madagáscar 800 g,"20,75 €",,"25,94 €/Kg",
DIA PRA JÁ! Arroz de Pato 300 g,"2,99 €",,"9,97 €/Kg",
DIA Pizza Queijo E Fiambre 350 g,"3,18 €",,"9,09 €/Kg",
