Nome,Preço,Preço Antigo,PpU,PpU Antigo
DANACOL Frutos Exóticos 6x100 g,"3,99 €",,"6,65 €/Kg",
LIMIANO Queijo Flamengo Bola 600 g,"4,99 €",,"4,99 €/ud",
GRESSO Leite UHT Meio Gordo 1 L,"0,79 €",,"0,79 €/l",
BECEL Margarina 400 g,"3,17 €",,"7,93 €/Kg",
PALHAIS Queijo de Cabra Chèvre 180 g,"2,99 €","3,89 €","16,61 €/Kg","21,61 €/Kg"
DAN'UP Iogurte Líquido de Morango 4x155 g,"2,99 €",,"4,82 €/Kg",
O PRÉMIO DO DIA Mousse de Chocolate 4x60 g,"1,05 €",,"4,38 €/Kg",
PARMALAT Natas UHT Para Bater 200 ml,"1,12 €",,"5,60 €/l",
PARMALAT Natas Para Culinária 200 ml,"1,12 €",,"5,60 €/l",
DIA DONA MARGARIDA Margarina Girassol 500 g,"1,95 €","2,29 €","3,90 €/Kg","4,58 €/Kg"
BABYBEL Queijo Mini Rede 6 unidades 120 g,"2,29 €",,"19,08 €/Kg",
DIA BIFIDUS Iogurte Líquido Bifidus Cereais 4x160 g,"1,65 €",,"0,41 €/ud",
PRÉSIDENT Queijo Roquefort 100 g,"3,35 €",,"33,50 €/Kg",
LIMIANO Queijo Amanteigado Vaca E Ovelha 450 g,"4,69 €",,"10,42 €/Kg",
TERRA NOSTRA Queijo Flamengo Fatias Light 200 g,"2,29 €",,"11,45 €/Kg",
PRÉSIDENT Manteiga Magra 250 g,"2,55 €",,"10,20 €/Kg",
O PRÉMIO DO DIA Arroz Doce 4x130 g,"2,59 €",,"4,98 €/Kg",
MIMOSA Leite UHT Meio Gordo 3x200 ml,"1,19 €",,"1,98 €/l",
TERRA NOSTRA Queijo Flamengo Fatias 2x200 g,"5,09 €",,"12,73 €/Kg",
LIMIANO Queijo Flamengo Fatias Light 2x200 g,"4,39 €",,"10,97 €/Kg",
LIMIANO Queijo Flamengo Fatias 2x200 g,"4,29 €",,"10,73 €/Kg",
DIA O CHOCALHO Queijo Flamengo Fatias 450 g,"3,89 €",,"8,64 €/Kg",
DIA LÁCTEA Natas Uht Para Cozinhar 3x200 ml,"2,35 €",,"3,92 €/l",
"DANONE Iogurte Aroma Morango, Banana E Tutti-Frutti 8x120 g","1,99 €",,"2,07 €/Kg",
