Nome,Preço,Preço Antigo,PpU,PpU Antigo
NESQUIK Achocolatado em Pó Extra Choc 390 g,"3,14 €",,"8,05 €/Kg",
NESTLÉ Tablete de Chocolate com Amêndoas Extrafino 123 g,"1,89 €",,"15,37 €/Kg",
"NESTLÉ Pacotinho de Fruta Banana, Laranja, Bolacha Naturnes 90 g","1,05 €",,"11,67 €/Kg",
"NESTLÉ Pacotinho de Fruta Banana, Maçã, Morango Naturnes 90 g","1,05 €",,"11,67 €/Kg",
YOGOLINO Pêssego e Banana com 0% Açúcares Adicionados Nestlé 4x100 g,"2,16 €",,"5,40 €/Kg",
SHOYCE Bebida de Amêndoa 0% Açúcar 1 L,"2,19 €",,"2,19 €/l",
BUONDI BY NESPRESSO Cápsulas de Café Encorpado Nestlé 10 Un,"4,09 €",,"0,41 €/ud",
BUONDI BY NESPRESSO Cápsulas de Café Intenso Nestlé 10 Un,"4,09 €",,"0,41 €/ud",
CRUNCH Tablete de Chocolate Biscuit 100 g,"1,99 €",,"19,90 €/Kg",
"NESTLÉ Refeição Abóbora, Batatas e Perú 190 g","1,51 €",,"7,95 €/Kg",
NESTLÉ Refeição Legumes com Vitela 190 g,"1,51 €","1,89 €","7,95 €/Kg","9,95 €/Kg"
NESCAFÉ DOLCE GUSTO Café Ristretto Ardenza (Intensidade 11) 3x16 un,"14,89 €",,"0,31 €/ud",
NESTLÉ Tablete Chocolate Negro Extrafino 125 g,"1,99 €",,"15,92 €/Kg",
NESCAFÉ DOLCE GUSTO Café Espresso Buondi (Intensidade 8) 3x16 un,"14,89 €",,"0,31 €/ud",
NESCAFÉ DOLCE GUSTO Café Espresso Sical (Intensidade 7) 3x16 un,"14,89 €",,"0,31 €/ud",
IZIDORO Salsicha Vegan Frasco 5 unidades 220 g,"3,34 €",,"15,18 €/Kg",
OLD EL PASO Snack Tortilla Nachips 185 g,"2,99 €",,"16,16 €/Kg",
SHOYCE Bebida Aveia e Amêndoa 0% 1 L,"2,19 €",,"2,19 €/l",
SHOYCE Bebida Aveia Choco 0% 1 L,"2,19 €",,"2,19 €/l",
NESTLÉ Chocolate em Pó Intenso 40% 330 g,"3,64 €",,"11,03 €/Kg",
IZIDORO Salsicha Frankfurt Embalagem Familiar Lata 12 un,"1,47 €",,"0,12 €/ud",
FERBAR Polvilho Doce 500 g,"2,99 €",,"5,98 €/Kg",
FERBAR Tapioca Hidratada 500 g,"3,49 €",,"6,98 €/Kg",
DIA GALATEA Queijo Ralado Mozzarella 200 g,"1,69 €",,"8,45 €/Kg",
DIA GALATEA Queijo Ralado Emmental 200 g,"1,75 €",,"8,75 €/Kg",
FRUUT Abacaxi Embalado 20 g,"1,34 €",,"67,00 €/Kg",
NESTLÉ Pacotinho Maçã Pêssego 90 g,"1,05 €",,"11,67 €/Kg",
BEIRANOVA Preparado Mariscada sem Glúten 450 g,"3,99 €",,"8,87 €/Kg",
NOBRE VEGALIA Especialidade Vegetariana de Soja Lata 8 un,"2,29 €",,"0,29 €/ud",
NOBRE VEGALIA Especialidade Vegetariana de Tofu Lata 8 un,"2,29 €",,"0,29 €/ud",
DIA TEMPTATION Gelado Baunilha 1 L,"2,29 €",,"2,29 €/l",
DOLCE GUSTO Cápsulas de Café Buondi Intenso (Intensidade 10) 16 un,"5,99 €",,"0,37 €/ud",
DIA AL PUNTO Tortilha de Cebola 600 g,"3,35 €",,"5,58 €/Kg",
DIA AL PUNTO Quinoa com Verduras 400 g,"2,79 €",,"6,98 €/Kg",
DIA SIMPRATICO Hamburguer Misto Sem Glúten 500 g,"3,65 €",,"7,30 €/Kg",
DIA PRA JÁ! Pão de Queijo Congelado 300 g,"2,49 €","2,95 €","8,30 €/Kg","9,83 €/Kg"
DIA SIMPRATICO Hamburguer de Vaca 100% 500 g,"5,95 €",,"11,90 €/Kg",
DIA SIMPRATICO Almôndegas de Bovino sem Glúten 600 g,"5,79 €",,"9,65 €/Kg",
DIA HORA + DOCE Gelatina Melancia 2x55 g,"0,89 €",,"8,09 €/Kg",
DIA NATURDOCE Doce de Pêssego sem Açúcar 250 g,"2,72 €",,"10,88 €/Kg",
DIA NATURDOCE Doce de Morango sem Açúcar 250 g,"2,72 €",,"10,88 €/Kg",
DIA HORA + DOCE Gelatina de Ananás 2x55 g,"0,89 €",,"8,09 €/Kg",
DIA HORA + DOCE Gelatina de Morango 2x55 g,"0,89 €",,"8,09 €/Kg",
DIA HORA + DOCE Gelatina de Pêssego 2x55 g,"0,89 €",,"8,09 €/Kg",
DIA HORA + DOCE Gelatina Tutti Frutti 2x55 g,"0,89 €",,"8,09 €/Kg",
IZIDORO Salsichas de Aves Frasco 9 un,"2,84 €",,"7,89 €/Kg",
POM'BEL Puré de Maçã 4x100 g,"2,29 €",,"5,73 €/Kg",
POM'BEL Puré de Maçã e Manga 4x100 g,"2,29 €",,"5,73 €/Kg",
POM'BEL Puré de Maçã e Pêra 4x100 g,"2,29 €",,"5,73 €/Kg",
DIA MAXI PAVO Fiambre de Perú 900 g,"3,29 €",,"3,66 €/Kg",
BUONDI BY NESPRESSO Cápsulas de Café Extreme (Intensidade 12) 10 un,"4,09 €",,"0,41 €/ud",
IZIDORO Salsicha Bockwurst Familiar Frasco 9 un,"2,84 €",,"7,89 €/Kg",
DOLCE GUSTO Cápsulas de Café Doppio Espresso (Intensidade 10) 16 un,"5,99 €",,"0,37 €/ud",
VIOLIFE Fatiado 100% Vegan Sabor Original 200 g,"3,09 €",,"15,45 €/Kg",
DIA MARI MARINHEIRA Delícias do Mar 450 g,"2,25 €",,"5,00 €/Kg",
NOBRE Salsichas Hot Dog Frasco 4 un,"2,59 €",,"12,33 €/Kg",
NOBRE Salsichas Hot Dog Aves Frasco 4 un,"2,59 €",,"12,33 €/Kg",
DIA DON SALSICHÓN Salsichas Cocktail Aves 180 g,"1,59 €",,"8,83 €/Kg",
DIA DON SALSICHÓN Salsichas Aves Tipo Frankfurt 8 un,"1,15 €",,"0,14 €/ud",
DIA DON SALSICHÓN Salsichas Cocktail 180 g,"1,53 €",,"8,50 €/Kg",
NOBRE Salsichas de Frango Cuida-T 210 g,"2,59 €",,"12,33 €/Kg",
NESTLÉ Tablete Chocolate Extrafino Negro 70% 120 g,"2,69 €",,"22,42 €/Kg",
SHOYCE Bebida Avelã 0% 1 L,"2,49 €",,"2,49 €/l",
DIA LÁCTEA Iogurte Natural Açucarado Cana de Açúcar 8x125 g,"1,65 €",,"1,65 €/Kg",
GULLON Mini Chips Chocolate sem Glúten 200 g,"2,69 €",,"13,45 €/Kg",
GULLON Bolachas Aveia e Laranja sem Glúten 180 g,"2,69 €",,"14,94 €/Kg",
BENEFEAT Barra Proteica Bio de Amendoim 35 g,"1,65 €",,"47,14 €/Kg",
BENEFEAT Barra Energética Bio de Coco e Banana 35 g,"1,65 €",,"47,14 €/Kg",
IZIDORO Hamburgueres Vegan Embalados Veggie Lovers 220 g,"3,49 €",,"15,86 €/Kg",
DIA TEMPTATION Gelado Big Golden Caramelo 3x67 g,"2,39 €",,"8,85 €/l",
DIA TEMPTATION Sorvete de Limão 1 L,"2,05 €",,"2,05 €/l",
SEARA Flocos de Aveia sem Glúten Bio 400 g,"2,39 €",,"5,98 €/Kg",
